INFO     | 2023-06-20 13:24:13,945 | 480  - send                                     | 127.0.0.1:56126 - "GET /finding/repository/cfn-ecs-cluster HTTP/1.1" 200
INFO     | 2023-06-20 13:24:29,407 | 480  - send                                     | 127.0.0.1:59274 - "GET /finding/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:29,409 | 480  - send                                     | 127.0.0.1:59282 - "GET /finding/overview HTTP/1.1" 200
INFO     | 2023-06-20 13:24:29,477 | 480  - send                                     | 127.0.0.1:59282 - "GET /finding/repository/auth0-config-migrator/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:29,491 | 480  - send                                     | 127.0.0.1:59282 - "GET /finding/repository/cfn-cloudtrail/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:29,502 | 480  - send                                     | 127.0.0.1:59274 - "GET /finding/repository/cfn-ecs-cluster/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:29,512 | 480  - send                                     | 127.0.0.1:59274 - "GET /finding/repository/cfn-ecs-service/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:29,522 | 480  - send                                     | 127.0.0.1:59292 - "GET /finding/repository/cfn-ecs-service-v2/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:33,720 | 480  - send                                     | 127.0.0.1:59274 - "GET /finding/repository/cfn-ecs-cluster HTTP/1.1" 200
INFO     | 2023-06-20 13:24:33,723 | 480  - send                                     | 127.0.0.1:59282 - "GET /finding/repository/cfn-ecs-cluster/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:42,817 | 480  - send                                     | 127.0.0.1:60378 - "GET /finding/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:42,818 | 480  - send                                     | 127.0.0.1:60390 - "GET /finding/overview HTTP/1.1" 200
INFO     | 2023-06-20 13:24:42,899 | 480  - send                                     | 127.0.0.1:60390 - "GET /finding/repository/auth0-config-migrator/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:42,908 | 480  - send                                     | 127.0.0.1:60390 - "GET /finding/repository/cfn-cloudtrail/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:42,921 | 480  - send                                     | 127.0.0.1:60378 - "GET /finding/repository/cfn-ecs-cluster/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:42,930 | 480  - send                                     | 127.0.0.1:60378 - "GET /finding/repository/cfn-ecs-service/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:42,944 | 480  - send                                     | 127.0.0.1:60392 - "GET /finding/repository/cfn-ecs-service-v2/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:45,612 | 480  - send                                     | 127.0.0.1:60390 - "GET /finding/repository/cfn-ecs-service/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:45,617 | 480  - send                                     | 127.0.0.1:60390 - "OPTIONS /finding/repository/cfn-ecs-service HTTP/1.1" 200
INFO     | 2023-06-20 13:24:45,680 | 480  - send                                     | 127.0.0.1:60390 - "GET /finding/repository/cfn-ecs-service HTTP/1.1" 200
INFO     | 2023-06-20 13:24:57,726 | 480  - send                                     | 127.0.0.1:51144 - "GET /finding/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:57,727 | 480  - send                                     | 127.0.0.1:51154 - "GET /finding/overview HTTP/1.1" 200
INFO     | 2023-06-20 13:24:57,795 | 480  - send                                     | 127.0.0.1:51154 - "GET /finding/repository/auth0-config-migrator/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:57,813 | 480  - send                                     | 127.0.0.1:51154 - "GET /finding/repository/cfn-cloudtrail/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:57,822 | 480  - send                                     | 127.0.0.1:51144 - "GET /finding/repository/cfn-ecs-cluster/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:57,831 | 480  - send                                     | 127.0.0.1:51144 - "GET /finding/repository/cfn-ecs-service/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:57,841 | 480  - send                                     | 127.0.0.1:51170 - "GET /finding/repository/cfn-ecs-service-v2/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:59,647 | 480  - send                                     | 127.0.0.1:51144 - "OPTIONS /finding/repository/cfn-ecs-service-v2 HTTP/1.1" 200
INFO     | 2023-06-20 13:24:59,649 | 480  - send                                     | 127.0.0.1:51154 - "GET /finding/repository/cfn-ecs-service-v2/count HTTP/1.1" 200
INFO     | 2023-06-20 13:24:59,653 | 480  - send                                     | 127.0.0.1:51144 - "GET /finding/repository/cfn-ecs-service-v2 HTTP/1.1" 200
INFO     | 2023-06-20 13:25:27,679 | 255  - shutdown                                 | Shutting down
INFO     | 2023-06-20 13:25:27,780 | 66   - shutdown                                 | Waiting for application shutdown.
INFO     | 2023-06-20 13:25:27,780 | 77   - shutdown                                 | Application shutdown complete.
INFO     | 2023-06-20 13:25:27,781 | 85   - serve                                    | Finished server process [16844]
INFO     | 2023-06-20 13:25:28,240 | 103  - shutdown                                 | Stopping reloader process [16834]
